Region,,Province,,Municipality,,Barangay,,Project Name,# of Brgys., Estimated Total Cost (P) 2nd MIBF , KALAHI GRANT , Community & LGU Counterpart Commitments (LCC) , Grant Funds Released  , Tranches , LCC Delivered , Total Utilized , Grant Funds Utilized , LCC Utilized ,% Utilized from Grant released* ,% LCC utilized over delivered,% LCC delivered over committed,% Financial Accomplishment (Grant + LCC),% Physical Progress as of June 2010,1st MIBF / MIBF-PDPRA Date,2nd MIBF / MIBF-EC Date,Start Date (SPI),Completion Date,Inauguration Date,Duration of SP Construction (Calendar Days), No. of Direct HH Beneficiaries ,Remarks,# of SPs,Cluster
CAR,14,Abra,1401,Danglas,140106,Cabaruan,140106003,Const. of Water System,1,"1,629,560.00","1,077,232.63","552,327.37","1,033,129.48",,"240,108.56","1,273,238.04","1,033,129.48","240,108.56",100%,100%,43%,78%,100%,8-Apr-08,n/a,26-Jan-09,5-Dec-09,n/a,313,106,,1,LUZON
CAR,14,Abra,1401,Danglas,140106,Caupasan,140106004,Concreting of Caupasan Proper to Sitio Payong FMR,1,"592,300.00","336,079.88","256,220.12","302,582.99",,"201,348.13","503,931.12","302,582.99","201,348.13",100%,100%,79%,85%,100%,17-Mar-09,no data,18-May-09,5-Dec-09,n/a,201,231,,1,LUZON
CAR,14,Abra,1401,Danglas,140106,Danglas - C2,140106005,Const. of Water System,2,"1,231,665.00","857,396.34","374,268.66","804,634.08",,"274,418.42","1,079,052.50","804,634.08","274,418.42",100%,100%,73%,88%,100%,8-Apr-08,n/a,22-Oct-08,4-Mar-09,no data,133,169,,1,LUZON
CAR,14,Abra,1401,Danglas,140106,Abaquid - C2,140106001,Const. of Water System,2,"1,231,665.00","857,396.34","374,268.66","804,634.08",,"274,418.42","1,079,052.50","804,634.08","274,418.42",100%,100%,73%,88%,100%,8-Apr-08,n/a,22-Oct-08,4-Mar-09,no data,133,169,,1,LUZON
CAR,14,Abra,1401,Danglas,140106,Nagaparan,140106006,Const. of Water System,1,"331,840.00","218,133.29","113,706.71","218,133.29",,"126,022.97","344,156.26","218,133.29","126,022.97",100%,100%,111%,104%,100%,8-Apr-08,n/a,6-Aug-08,30-Nov-08,no data,116,160,,1,LUZON
CAR,14,Abra,1401,Danglas,140106,Padangitan,140106007,"Construction of  Sitio Dalaguisen, Padangitan Flood Control",1,"1,666,200.00","932,543.00","733,657.00","839,288.70",,"567,750.87","1,407,039.57","839,288.70","567,750.87",100%,100%,77%,84%,100%,17-Mar-09,no data,11-Jun-09,5-Dec-09,n/a,177,65,,1,LUZON
CAR,14,Abra,1401,Danglas,140106,Pangal,140106008,Construction of Pangal Footbridge,1,"1,217,900.00","831,377.12","386,522.88","749,329.84",,"304,565.97","1,053,895.81","749,329.84","304,565.97",100%,100%,79%,87%,100%,17-Mar-09,no data,16-May-09,completed as built,n/a,#VALUE!,161,completed as built,1,LUZON
CAR,14,Abra,1401,Lacub,140109,Bacag,140109001,Construction of  Water System,1,"954,862.50","757,134.00","197,728.50","705,029.00",,"210,728.50","915,757.50","705,029.00","210,728.50",100%,100%,107%,96%,100%,1-Sep-08,no data,21-Jan-09,25-Feb-09,no data,35,48,,1,LUZON
CAR,14,Abra,1401,Lacub,140109,Buneg,140109002,Improvement of Buneg Water Supply System-Level II,1,"1,096,000.00","773,892.00","322,108.00","619,113.60",,"323,108.00","942,221.60","619,113.60","323,108.00",100%,100%,100%,86%,100%,13-Mar-09,no data,21-Jun-09,30-Jul-09,n/a,39,66,,1,LUZON
CAR,14,Abra,1401,Lacub,140109,Guinguinabang,140109003,Construction of Concrete Footbridge,1,"960,405.00","702,243.00","258,162.00","632,018.92",,"268,160.89","900,179.81","632,018.92","268,160.89",100%,100%,104%,94%,100%,1-Sep-08,no data,23-Jan-09,29-Apr-09,n/a,96,55,,1,LUZON
CAR,14,Abra,1401,Lacub,140109,Lan-ag,140109004,Construction of Water System,1,"381,459.00","221,985.00","159,474.00","207,009.16",,"160,473.80","367,482.96","207,009.16","160,473.80",100%,100%,101%,96%,100%,1-Sep-08,no data,22-Jan-09,13-Feb-09,no data,22,13,,1,LUZON
CAR,14,Abra,1401,Lacub,140109,Pacoc,140109005,Cable Footbridge,1,"1,482,616.00","1,091,104.00","391,512.00","1,091,104.00",,"390,705.50","1,481,809.50","1,091,104.00","390,705.50",100%,100%,100%,100%,100%,8-Jul-07,n/a,19-Dec-07,30-Apr-09,n/a,498,99,,1,LUZON
CAR,14,Abra,1401,Lacub,140109,Poblacion (Talampac),140109006,Improvement of Water Supply System,1,"1,010,240.00","708,896.00","301,344.00","708,896.00",,"292,894.00","1,001,790.00","708,896.00","292,894.00",100%,100%,97%,99%,100%,8-Jul-07,n/a,25-Sep-07,31-Mar-08,no data,188,154,,1,LUZON
CAR,14,Abra,1401,San Isidro,140121,Dalimag,140121002,Const. of Concrete Footbridge with footpath,1,"640,000.00","587,970.00","52,030.00","529,173.00",,"51,330.00","580,503.00","529,173.00","51,330.00",100%,100%,99%,91%,100%,30-Apr-07,n/a,19-Nov-07,28-Feb-08,no data,101,131,Excess funds ,1,LUZON
CAR,14,Abra,1401,San Isidro,140121,Cabayogan- C2,140121001,Construction of 1 Unit (3 classroom) Elementary School Building,2,"1,495,000.00","1,150,000.00","345,000.00","1,035,000.00",,"224,203.19","1,259,203.19","1,035,000.00","224,203.19",100%,100%,65%,84%,100%,10-Sep-08,no data,12-Dec-08,30-Jun-09,no data,200,200,,1,LUZON
CAR,14,Abra,1401,San Isidro,140121,Dalimag - C2,140121002,Construction of 1 Unit (3 classroom) Elementary School Building,2,"1,495,000.00","1,150,000.00","345,000.00","1,035,000.00",,"224,203.19","1,259,203.19","1,035,000.00","224,203.19",100%,100%,65%,84%,100%,10-Sep-08,no data,12-Dec-08,30-Jun-09,no data,200,200,,1,LUZON
CAR,14,Abra,1401,San Isidro,140121,Langbaban - C3,140121003,Impr. of Water System - C3,3,"1,800,000.00","1,295,193.00","504,807.00","1,141,246.91",,"598,217.00","1,739,463.91","1,141,246.91","598,217.00",100%,100%,119%,97%,100%,30-Apr-07,n/a,19-Nov-07,15-Sep-08,no data,301,264,,1,LUZON
CAR,14,Abra,1401,San Isidro,140121,Manayday,140121004,Improvement of Manayday-Linasin Farm to Market Road,1,"1,400,000.00","1,076,923.00","323,077.00","969,230.70",,"212,872.68","1,182,103.38","969,230.70","212,872.68",100%,100%,66%,84%,100%,10-Sep-08,no data,16-Feb-09,10-Jun-09,no data,114,131,,1,LUZON
CAR,14,Abra,1401,San Isidro,140121,Olo,140121010,Improvement of Sabtan Baba-Sabtan Olo FMR,1,"1,180,000.00","816,837.00","363,163.00","816,837.00",,"369,717.00","1,067,420.57","816,837.00","250,583.57",100%,68%,102%,90%,100%,30-Apr-07,n/a,10-Dec-07,10-Sep-08,no data,275,77,,1,LUZON
CAR,14,Abra,1401,San Isidro,140121,Olo,140121010,Construction of Multi-Purpose Pavement with Storage Area,1,"550,000.00","423,077.00","126,923.00","380,769.30",,"98,056.27","478,825.57","380,769.30","98,056.27",100%,100%,77%,87%,100%,10-Sep-08,no data,16-Feb-09,12-May-09,no data,85,75,,1,LUZON
CAR,14,Abra,1401,San Isidro,140121,Poblacion,140121008,Upgrading/Enhancement of the ECCD Services of Barangay Poblacion,1,"70,000.00","49,000.00","21,000.00","39,000.00",,"21,000.00","60,000.00","39,000.00","21,000.00",100%,100%,100%,86%,100%,10-Sep-08,no data,13-May-09,5-Jun-09,n/a,23,122,,1,LUZON
CAR,14,Abra,1401,San Quintin,140123,Labaan,140123001,Improvement of Water Supply System,1,"421,415.00","261,395.00","160,020.00","261,395.00",,"171,430.00","432,825.00","261,395.00","171,430.00",100%,100%,107%,103%,100%,13-Mar-07,n/a,22-Aug-07,27-Jan-09,n/a,524,187,,1,LUZON
CAR,14,Abra,1401,San Quintin,140123,Labaan,140123001,Construction of 3 Units Artesian Well,1,"311,990.00","201,593.00","110,397.00","201,593.00",,"110,429.00","312,022.00","201,593.00","110,429.00",100%,100%,100%,100%,100%,16-Sep-08,no data,1-Feb-09,23-Apr-09,n/a,81,32,,1,LUZON
